"id","train_fitness","train_net_profit","test_net_profit","test_sharpe"
91,-1000.98636764273,-544.947062478012,1597.4463016205,0.553265324249274
92,-570.171613001991,-253.466219264965,344.959982582102,0.313266639210071
93,27.0382302204358,205.106354067821,40.671110168465,0.0842848368162924
94,-831.000778124973,-517.586050563787,419.775210731514,0.4447555937171
95,-1129.01981375178,-752.464405901899,359.715934539799,0.387108541224229
96,-122.683681827519,204.816699301744,640.315012485506,0.707904145812646
97,-738.244881376989,-285.122880458797,538.483690925617,0.240196667359438
98,-44.1514985450816,43.6999489593436,-234.486742069243,-0.472584472496445
99,-602.82801839771,-434.866201839444,-52.6709726867684,-0.908705827517133
100,-641.302850852201,-429.427118497846,-158.33725799179,-0.645552148378381
101,-861.040198191835,-459.267763620377,0,0
102,-582.715287968063,-247.460975181579,0,0
103,-440.071799359889,-314.23631906509,90.825086769104,0.592477656863064
104,-658.072836918643,-293.936054302218,315.620261062622,0.782196705251747
105,-1631.6254379444,-1255.09649072646,-624.988703987121,-1.00951221393094
106,-672.949470039369,-315.091616210939,0,0
107,674.058768188393,803.543736642849,415.308117046359,0.522155209401508
108,-365.842721588517,-81.9123997955321,-30.6979594421373,-0.687858501951386
109,-272.46209539394,-117.829511966702,-118.766547565459,-0.314729463658793
110,-1170.02365314786,-719.392814872721,217.125000099182,0.167363097212458
111,-567.569871023172,-304.767122924799,783.731856689456,0.595288914018928
112,-269.103004394535,-137.577930324558,41.0054112396283,0.108942487676045
113,-1433.243239538,-1006.05395736885,263.362738399508,0.271631731420359
114,-310.341956079481,9.53094995308129,91.430660522461,0.574589659202555
115,-1710.03584922714,-1298.77233798599,0,0
116,-564.237047247694,-210.349583562849,0,0
117,-664.264836293791,-310.965176200865,0,0
118,-737.90957363052,-441.884175918576,130.675717399597,0.302202089213856
119,-481.84598999652,-275.472307181351,34.8546823158249,0.111122956687169
120,224.047222940069,316.405095809941,-123.850840602865,-0.144220317708095
121,-853.507035633264,-632.378095981587,15.0570672378544,0.0494456501224683
122,-840.265135474577,-601.612703165047,281.798437892918,0.430291761778158
123,-256.137139732552,-197.02856902504,16.4162194213859,0.0837169568210062
124,-435.561433749575,-282.452928021426,-8.49761764526374,-0.0501751669019187
125,-727.381351919733,-384.634351401317,187.291615680699,0.284684201077501
126,-940.774303463166,-642.612263889307,478.663161781315,0.693347411718852
127,-1193.81212847117,-844.44959512328,816.353104164127,0.763675164178312
128,-432.670664472195,-306.580035701749,672.529632873537,0.863356643534268
129,-798.947674317731,-514.613162109366,-581.110533470146,-0.558087845812142
130,-1268.33948128394,-938.489678089136,14.1381935043355,0.0410242325754257
131,-1351.52450206488,-1025.130645298,-53.8861783828725,-0.136287922618788
132,305.064140120916,485.527071667695,-965.012789844508,-1.01474112454371
133,-363.347166933444,-65.9104839820884,-74.9704962768556,-0.896403316482776
134,-249.077026724231,-167.537516431797,-107.489208225246,-0.420576677683177
135,-399.762555742645,-113.316403770446,0,0
136,-1038.02533618067,-677.600871843326,-68.8835112113884,-0.0871416846178787
137,307.945804773532,409.656794459353,212.703450931551,0.569012328123994
138,-231.927885135078,-152.342746328353,0,0
139,-1612.75439667107,-1239.54501751515,526.960820343025,0.481620944677685
140,-157.177289747623,-90.4301485595734,-208.700467647554,-0.476606557510182
141,-72.7152495857154,50.71428229905,-449.668992496485,-0.627044954799808
142,-511.947637925907,-383.455707082745,141.75245516205,0.613710494917546
143,-1105.5658839546,-803.822833454111,316.460286113746,0.314718239947404
144,-1196.06776864357,-916.147529102323,-223.323873695375,-0.695074861319934
145,-1174.07318248727,-400.216342440584,-1092.08328005981,-1.26639829957511
146,-526.002280551148,-207.648772430421,0,0
147,-924.563206064026,-696.617100587839,181.167196090701,0.352402765695878
148,-1083.61700215967,-705.338065587981,-228.241448650357,-0.0695277067205368
